delays_on,norm_signal_on,std_dev_on,delays_off,norm_signal_off,std_dev_off,relative_p_values
26.0,3.0261406884501576,0.24050208417270413,26.0,2.5416672667417948,0.21202258039076174,0.13077084496387759
28.0,1.880861556915103,0.22427352516935697,28.0,2.357152504738664,0.19965399441770162,0.11268845493277624
30.0,1.4006113761385246,0.22602259206716555,30.0,2.3281971542991466,0.20303429908270668,0.002265397859105178
32.0,1.5177703418378041,0.22405975651365456,32.0,2.6252668087006983,0.20305889107885983,0.00024970943157121006
34.0,2.3743360446490853,0.23188779503434437,34.0,2.550721752510829,0.20708384065714652,0.5704775904874615
36.0,2.290763638032617,0.2250048295513029,36.0,2.1765810492311775,0.20379078646905618,0.7068230044750634
38.0,1.8911119729563766,0.22773215502863525,38.0,2.25392496969353,0.20724793008698114,0.2386861635919888
40.0,2.0323751005040136,0.23047762222768528,40.0,2.2484485944595556,0.20319568784817457,0.48191370159406666
42.0,2.4723664439156248,0.23079369032465047,42.0,2.1836795749880307,0.20406558875039174,0.3487198223687895
44.0,2.3983494724235137,0.22583398570934834,44.0,1.986531766034989,0.20246726080033337,0.17453756948450438
46.0,1.8404730628571087,0.22831227597641554,46.0,1.870532952145091,0.20188910411346433,0.9214313461386396
48.0,1.8882463178393678,0.2215375110217329,48.0,2.5220159516270226,0.20347650382106042,0.03512310577586941
50.0,1.7612450338973984,0.18265477263503202,50.0,1.5974127224618697,0.16605147782235205,0.5068908787832436
